"key","base","es","en"
"presentation","Explora mis proyectos destacados, las competencias que he adquirido y los logros importantes que reflejan mi compromiso y pasión por mi profesión.","Explora mis proyectos destacados, las competencias que he adquirido y los logros importantes que reflejan mi compromiso y pasión por mi profesión.","Explore my featured projects, the skills I have acquired and the important achievements that reflect my commitment and passion for my profession."
"hello","Yo soy ","Yo soy ","I am "
"last","Últimos proyectos:","Últimos proyectos:","Latest projects:"
"nav.home","Inicio","Inicio","Home"
"nav.services","Servicios","Servicios","Services"
"nav.projects","Proyectos","Proyectos","Projects"
"nav.skills","Habilidades","Habilidades","Skills"
"about.title","Sobre mí","Sobre mí","about me"
"about.description1","Desde niño, la tecnología ha sido mi pasión. Mis primeros encuentros con computadoras y la fascinación por cómo funcionaban los programas me guiaron hacia la computación.","Desde niño, la tecnología ha sido mi pasión. Mis primeros encuentros con computadoras y la fascinación por cómo funcionaban los programas me guiaron hacia la computación.","Since I was a child, technology has been my passion. My first encounters with computers and fascination with how programs worked guided me towards computing."
"about.description2","Con el tiempo, mi interés creció y comencé a explorar","Con el tiempo, mi interés creció y comencé a explorar","Over time, my interest grew and I began to explore"
"about.description3","Pasaba horas desmantelando y ensamblando computadoras, entendiendo el propósito de cada componente.","Pasaba horas desmantelando y ensamblando computadoras, entendiendo el propósito de cada componente.","He spent hours dismantling and assembling computers, understanding the purpose of each component."
"about.description4","Esta pasión me llevó a estudiar","Esta pasión me llevó a estudiar","This passion led me to study"
"about.description5","en el Instituto de {{0}}. He trabajado en diversos proyectos, aplicando y ampliando mis conocimientos. Cada proyecto es un nuevo desafío y una oportunidad para crecer personal y profesionalmente.","en el Instituto de {{0}}. He trabajado en diversos proyectos, aplicando y ampliando mis conocimientos. Cada proyecto es un nuevo desafío y una oportunidad para crecer personal y profesionalmente.","at the Institute of {{0}}. I have worked on various projects, applying and expanding my knowledge. Each project is a new challenge and an opportunity to grow personally and professionally."
"about.description6","Espero seguir desarrollando mi carrera, adquiriendo nuevas habilidades y contribuyendo con mi conocimiento y experiencia.","Espero seguir desarrollando mi carrera, adquiriendo nuevas habilidades y contribuyendo con mi conocimiento y experiencia.","I hope to continue developing my career, acquiring new skills and contributing my knowledge and experience."
"about.span1"," la arquitectura, los detalles técnicos y la configuración de hardware. "," la arquitectura, los detalles técnicos y la configuración de hardware. "," the architecture, technical details and hardware configuration. "
"about.span2"," programación y creación de software "," programación y creación de software "," programming and software creation "
"footer.1","Disponible para trabajar, conectemos.","Disponible para trabajar, conectemos.","Available to work, let's connect."
"footer.2","Encontrame en las redes:","Encontrame en las redes:","Find me on the networks:"
"contact.title","Contacto","Contacto","Contact"
"contact.name","Nombre:","Nombre:","Name:"
"contact.message","Mensaje:","Mensaje:","Message:"
"contact.buttonSend","Enviar","Enviar","Send"
"contact.userInput.name","Ingrese su nombre","Ingrese su nombre","Enter your name"
"contact.userInput.email","Ingrese su email","Ingrese su email","Enter your email"
"contact.userInput.message","Ingrese su mensaje","Ingrese su mensaje","Enter your message"
"contact.description.address","DIRECCIÓN","DIRECCIÓN","ADDRESS"
"contact.description.presentation","Puedes contactarme enviando un mail o a través de mis redes sociales. ¡Espero tu mensaje!","Puedes contactarme enviando un mail o a través de mis redes sociales. ¡Espero tu mensaje!","You can contact me by sending an email or through my social networks. I await your message!"
"contact.successfully","Enviado exitosamente!","Enviado exitosamente!","Sent successfully!"
"contact.failed","No se pudo enviar el correo electrónico.","No se pudo enviar el correo electrónico.","The email could not be sent."
"contact.error","Error al enviar el correo electrónico.","Error al enviar el correo electrónico.","Error sending email."
"contact.sending","Enviando...","Enviando...","Sending..."
"servicesprofile.desing","Dieño","Dieño","Design"
"servicesprofile.desingdescription","Me especializo en diseñar software intuitivo y atractivo, desde la concepción inicial hasta el producto final. Utilizo métodos ágiles para iterar rápidamente y ajustar el diseño según el feedback de los usuarios, asegurando que cumpla con altos estándares de calidad y sus necesidades.","Me especializo en diseñar software intuitivo y atractivo, desde la concepción inicial hasta el producto final. Utilizo métodos ágiles para iterar rápidamente y ajustar el diseño según el feedback de los usuarios, asegurando que cumpla con altos estándares de calidad y sus necesidades.","I specialize in designing intuitive and engaging software, from initial conception to final product. I use agile methods to quickly iterate and adjust the design based on user feedback, ensuring it meets high quality standards and their needs."
"servicesprofile.development","Desarrollo","Desarrollo","Development"
"servicesprofile.developmentdescription","En el desarrollo aseguro la robustez y escalabilidad del sistema. Colaboro estrechamente con equipos utilizando metodologías para adaptar rápidamente el producto a medida que evoluciona, garantizando soluciones que no solo funcionen bien, sino que también sean fáciles de mantener.","En el desarrollo aseguro la robustez y escalabilidad del sistema. Colaboro estrechamente con equipos utilizando metodologías para adaptar rápidamente el producto a medida que evoluciona, garantizando soluciones que no solo funcionen bien, sino que también sean fáciles de mantener.","In development I ensure the robustness and scalability of the system. I collaborate closely with teams using methodologies to quickly adapt the product as it evolves, ensuring solutions that not only work well, but are also easy to maintain."
"servicesprofile.maintenance","Mantenimiento","Mantenimiento","Maintenance"
"servicesprofile.maintenancedescription","En el mantenimiento de software, garantizo sistemas eficientes ysin problemas. Detecto y corrijo problemas antes de que afecten a los usuarios, implemento actualizaciones cuidadosamente para mantener un funcionamiento seguro y continuo, adaptándome a nuevas necesidades según surjan.","En el mantenimiento de software, garantizo sistemas eficientes ysin problemas. Detecto y corrijo problemas antes de que afecten a los usuarios, implemento actualizaciones cuidadosamente para mantener un funcionamiento seguro y continuo, adaptándome a nuevas necesidades según surjan.","In software maintenance, I guarantee efficient and problem-free systems. I detect and fix problems before they affect users, carefully deploying updates to maintain safe and continuous operation, adapting to new needs as they arise."
"skills.1","Poseo sólidos conocimientos y experiencia en desarrollo de software, destacado en la creación de aplicaciones innovadoras y eficientes. Mi destreza incluye programación en varios lenguajes y resolución de problemas.","Poseo sólidos conocimientos y experiencia en desarrollo de software, destacado en la creación de aplicaciones innovadoras y eficientes. Mi destreza incluye programación en varios lenguajes y resolución de problemas.","I have solid knowledge and experience in software development, excelling in creating innovative and efficient applications. My skills include programming in various languages ​​and problem solving."
"skills.2","Estoy encantado de tener la oportunidad de discutir cómo mis habilidades y experiencia que puedan contribuir al éxito de sus proyecto.","Estoy encantado de tener la oportunidad de discutir cómo mis habilidades y experiencia que puedan contribuir al éxito de sus proyecto.","I am delighted to have the opportunity to discuss how my skills and experience can contribute to the success of your project."
"skills.3","Siempre estoy en la búsqueda de mejorar mis habilidades y la adaptación constante a las nuevas tendencias y tecnologías del campo.","Siempre estoy en la búsqueda de mejorar mis habilidades y la adaptación constante a las nuevas tendencias y tecnologías del campo.","I am always looking to improve my skills and constantly adapt to new trends and technologies in the field."
"workprojects.2.title","Administrador de Wroductos Web","Administrador de Wroductos Web","Web Product Manager"
"workprojects.2.description","Es una aplicación que permite organizar, editar y gestionar productos de manera eficiente. Implementa operaciones CRUD con una interfaz de usuario intuitiva y optimizada para distintos dispositivos.","Es una aplicación que permite organizar, editar y gestionar productos de manera eficiente. Implementa operaciones CRUD con una interfaz de usuario intuitiva y optimizada para distintos dispositivos.","It is an application that allows you to organize, edit and manage products efficiently. Implement CRUD operations with an intuitive user interface optimized for different devices."
"workprojects.2.img","","manager_app","manager_app"
"workprojects.2.url","","https://api-rest-typescript-frontend.vercel.app/","https://api-rest-typescript-frontend.vercel.app/"
"workprojects.2.github","","https://github.com/javierh-castro/api-rest-typescript-frontend","https://github.com/javierh-castro/api-rest-typescript-frontend"
"workprojects.2.skill","","React, Tailwindcss, Node, Postgresql, Express","React, Tailwindcss, Node, Postgresql, Express"
"workprojects.3.title","Bebidas Cocktail","Bebidas Cocktail","Cocktail Drinks"
"workprojects.3.description","Una aplicación web que permite a los usuarios explorar y ver recetas  de tragos de diferentes tipos, desarrollado con  React y TypeScript.","Una aplicación web que permite a los usuarios explorar y ver recetas  de tragos de diferentes tipos, desarrollado con  React y TypeScript.","A web application that allows users to explore and view drink recipes of different types, developed with React and TypeScript."
"workprojects.3.img","","cocktail","cocktail"
"workprojects.3.url","","https://bebidas-react-typescript-lyart.vercel.app/","https://bebidas-react-typescript-lyart.vercel.app/"
"workprojects.3.github","","https://github.com/javierh-castro/bebidas-react-typescript","https://github.com/javierh-castro/bebidas-react-typescript"
"workprojects.3.skill","","React, Tailwindcss, Zod","React, Tailwindcss, Zod"
"workprojects.7.title","Control Financiero","Control Financiero","Financial Control"
"workprojects.7.description","Organiza el balance financiero y genera un registro detallado de gastos e ingresos.","Organiza el balance financiero y genera un registro detallado de gastos e ingresos.","Organize the financial balance and generate a detailed record of expenses and income."
"workprojects.7.img","","income expenses","income expenses"
"workprojects.7.url","","https://income-expenses-example.netlify.app/","https://income-expenses-example.netlify.app/"
"workprojects.7.github","","https://github.com/javierh-castro/Income-and-Expenses","https://github.com/javierh-castro/Income-and-Expenses"
"workprojects.7.skill","","React, Tailwindcss","React, Tailwindcss"
"workprojects.4.title","Estado del Tiempo","Estado del Tiempo","Weather"
"workprojects.4.description","Consulta el tiempo de cualquier ciudad con esta aplicación construida con React y TypeScript. Este proyecto también se utilizo Zod para validación y esquema de datos.","Consulta el tiempo de cualquier ciudad con esta aplicación construida con React y TypeScript. Este proyecto también se utilizo Zod para validación y esquema de datos.","Check the weather in any city with this application built with React and TypeScript. This project also used Zod for data validation and schema."
"workprojects.4.img","","buscarclima","buscarclima"
"workprojects.4.url","","https://cheery-cat-44c418.netlify.app/","https://cheery-cat-44c418.netlify.app/"
"workprojects.4.github","","https://github.com/javierh-castro/clima-react","https://github.com/javierh-castro/clima-react"
"workprojects.4.skill","","Typescript, Next, Zod","Typescript, Next, Zod"
"workprojects.5.title","Recipify","Recipify","Recipify"
"workprojects.5.description","Recipify es desarrollado junto a compañeros para la asignatura de programación. La web permite registrarse, buscar recetas de cocina y publicar las recetas, tiene integrado nextauth, JWT, roles y verificación.","Recipify es desarrollado junto a compañeros para la asignatura de programación. La web permite registrarse, buscar recetas de cocina y publicar las recetas, tiene integrado nextauth, JWT, roles y verificación.","Recipify is developed together with classmates for the programming subject. The website allows you to register, search for cooking recipes and publish recipes, it has integrated nextauth, JWT, roles and verification."
"workprojects.5.img","","recipify","recipify"
"workprojects.5.url","","https://github.com/javierh-castro/proyect-recipify","https://github.com/javierh-castro/proyect-recipify"
"workprojects.5.github","","https://github.com/javierh-castro/proyect-recipify","https://github.com/javierh-castro/proyect-recipify"
"workprojects.5.skill","","Typescript, Next, Tailwindcss","Typescript, Next, Tailwindcss"
"workprojects.6.title","Tic Tac Toe","Tic Tac Toe","Tic Tac Toe"
"workprojects.6.description","Juego de Tic Tac Toe desarrollado con React, se utiliza en proyecto React Context Provider para la gestión del estado.","Juego de Tic Tac Toe desarrollado con React, se utiliza en proyecto React Context Provider para la gestión del estado.","Tic Tac Toe game developed with React, used in React Context Provider project for state management."
"workprojects.6.img","","tic tac toe","tic tac toe"
"workprojects.6.url","","https://javierh-castro.github.io/tic-tac-toe/","https://javierh-castro.github.io/tic-tac-toe/"
"workprojects.6.github","","https://github.com/javierh-castro/tic-tac-toe","https://github.com/javierh-castro/tic-tac-toe"
"workprojects.6.skill","","React, Css","React, Css"
"workprojects.8.title","E-commerce web","E-commerce web","E-commerce web"
"workprojects.8.img","","commerce","commerce"
"workprojects.8.description","Mi primer e-commerce cuenta con un filtro por precio y categoría, y dispone de un carrito de compras.","Mi primer e-commerce cuenta con un filtro por precio y categoría, y dispone de un carrito de compras.","My first e-commerce has a filter by price and category, and has a shopping cart."
"workprojects.8.url","","https://ecommerce-javier.netlify.app/","https://ecommerce-javier.netlify.app/"
"workprojects.8.github","","https://github.com/javierh-castro/proyect-ecommerce/tree/master","https://github.com/javierh-castro/proyect-ecommerce/tree/master"
"workprojects.8.skill","","React, Css","React, Css"
"workprojects.9.title","Crud Users","Crud Users","Crud Users"
"workprojects.9.description","Un CRUD que muestra detalles de los usuarios y se integra con una base de datos.","Un CRUD que muestra detalles de los usuarios y se integra con una base de datos.","A CRUD that displays user details and integrates with a database."
"workprojects.9.img","","crud 2","crud 2"
"workprojects.9.url","","https://github.com/javierh-castro/CRUD-2","https://github.com/javierh-castro/CRUD-2"
"workprojects.9.github","","https://github.com/javierh-castro/CRUD-2","https://github.com/javierh-castro/CRUD-2"
"workprojects.9.skill","","Node, Typescript","Node, Typescript"
